,name,symbol,quote.USD.market_cap,date_added
85,Tezos,XTZ,1222951877.5844505,2017-10-06T00:00:00.000Z
86,Pyth Network,PYTH,1214002096.637468,2023-11-20T09:42:13.000Z
87,Ronin,RON,1164087199.6721654,2021-11-08T17:57:40.000Z
88,Mina,MINA,1147099884.372047,2021-03-02T00:00:00.000Z
89,Decentraland,MANA,1123263568.78067,2017-09-17T00:00:00.000Z
90,EOS,EOS,1113118047.137065,2017-07-01T00:00:00.000Z
91,Neo,NEO,1095879021.548669,2016-09-08T00:00:00.000Z
92,Ondo,ONDO,1087929320.1687531,2024-01-18T12:06:25.000Z
93,ApeCoin,APE,1008713986.3058529,2022-03-17T12:26:36.000Z
94,KuCoin Token,KCS,999395595.0046309,2017-10-24T00:00:00.000Z
95,Kava,KAVA,976821642.0419947,2019-10-25T00:00:00.000Z
96,SATS,1000SATS,970238017.0425359,2023-12-12T07:05:34.000Z
97,IOTA,IOTA,966547858.8416975,2017-06-13T00:00:00.000Z
98,PancakeSwap,CAKE,945998472.6027238,2020-09-25T00:00:00.000Z
99,Akash Network,AKT,941051370.9230368,2020-10-16T00:00:00.000Z
100,JasmyCoin,JASMY,931273020.530652,2021-02-11T00:00:00.000Z
101,Axelar,AXL,928381259.6502889,2022-02-02T02:48:14.000Z
102,Helium,HNT,906731126.4114074,2020-06-05T00:00:00.000Z
103,Klaytn,KLAY,894838980.4309455,2020-03-30T00:00:00.000Z
104,Gnosis,GNO,894302538.5492549,2017-05-01T00:00:00.000Z
105,Ribbon Finance,RBN,880286722.6346494,2021-10-07T12:24:29.000Z
106,Oasis Network,ROSE,864672154.9588298,2020-11-12T00:00:00.000Z
107,dYdX (ethDYDX),ETHDYDX,861779982.6532284,2021-08-03T00:00:00.000Z
108,AIOZ Network,AIOZ,857583561.5386298,2021-04-02T00:00:00.000Z
109,Osmosis,OSMO,841075810.5218768,2021-09-30T16:58:27.000Z
110,Bitcoin Gold,BTG,830939062.119042,2017-10-23T00:00:00.000Z
111,Nervos Network,CKB,827398000.3966243,2019-11-19T00:00:00.000Z
112,Blur,BLUR,805782052.3264623,2023-02-13T15:07:24.000Z
113,Terra Classic,LUNC,793538732.694418,2019-07-26T00:00:00.000Z
114,WEMIX,WEMIX,785061762.3637834,2020-10-29T00:00:00.000Z
115,Dymension,DYM,769790591.8842108,2024-02-06T10:00:00.000Z
116,WOO,WOO,754094913.8052796,2020-10-23T00:00:00.000Z
117,BOOK OF MEME,BOME,752828600.8037528,2024-03-14T11:43:10.000Z
118,Nexo,NEXO,749230230.6929677,2018-05-01T00:00:00.000Z
119,GateToken,GT,741385954.1332673,2019-08-20T00:00:00.000Z
120,Echelon Prime,PRIME,733673264.4978746,2023-03-01T16:41:56.000Z
121,Curve DAO Token,CRV,728998218.1589894,2020-08-14T00:00:00.000Z
122,USDD,USDD,728235234.1765131,2022-05-02T08:07:12.000Z
123,Radix,XRD,722797350.2232615,2021-09-17T15:12:05.000Z
124,Astar,ASTR,714673603.3347965,2021-10-19T09:53:03.000Z
125,Manta Network,MANTA,687582148.2905025,2024-01-18T10:00:24.000Z
126,SKALE,SKL,676590225.2291667,2020-06-12T00:00:00.000Z
127,IoTeX,IOTX,659875248.2237692,2018-05-25T00:00:00.000Z
128,Terra,LUNA,643667244.986148,2022-05-26T12:47:26.000Z
129,Ocean Protocol,OCEAN,643274729.499809,2019-05-06T00:00:00.000Z
130,1inch Network,1INCH,624551919.1151689,2020-12-25T00:00:00.000Z
131,ether.fi,ETHFI,620417930.5721996,2024-03-13T06:06:39.000Z
132,XDC Network,XDC,619818768.1067145,2018-04-12T00:00:00.000Z
133,Ethereum Name Service,ENS,601612623.8900133,2021-11-09T01:31:29.000Z
134,Enjin Coin,ENJ,595326487.43668,2017-11-01T00:00:00.000Z
135,MANTRA,OM,587525279.7526615,2020-08-11T00:00:00.000Z
136,Altlayer,ALT,580638719.1447499,2024-01-17T12:59:16.000Z
137,Compound,COMP,579113567.7319696,2020-06-16T00:00:00.000Z
138,Celo,CELO,577013588.2323804,2020-05-22T00:00:00.000Z
139,Tether Gold,XAUt,573528158.124163,2020-02-07T00:00:00.000Z
140,GMT,GMT,570710470.5990312,2022-03-09T12:47:15.000Z
141,Zilliqa,ZIL,562708613.038475,2018-01-25T00:00:00.000Z
142,Rocket Pool,RPL,559513126.0637373,2018-07-17T00:00:00.000Z
143,SuperVerse,SUPER,556625614.2090138,2021-01-20T00:00:00.000Z
144,Ankr,ANKR,556491356.6528981,2019-03-06T00:00:00.000Z
145,0x Protocol,ZRX,555855581.6625917,2017-08-16T00:00:00.000Z
146,Theta Fuel,TFUEL,552443226.1470587,2019-03-28T00:00:00.000Z
147,Ravencoin,RVN,551430836.8350822,2018-03-10T00:00:00.000Z
148,FTX Token,FTT,547840644.3249403,2019-07-31T00:00:00.000Z
149,Frax Share,FXS,544131147.6346987,2020-09-08T00:00:00.000Z
150,DeXe,DEXE,541704008.3611366,2020-10-07T00:00:00.000Z
151,Siacoin,SC,530930311.65254176,2015-08-26T00:00:00.000Z
152,Golem,GLM,529470559.1514376,2016-11-18T00:00:00.000Z
153,Raydium,RAY,524931877.1800868,2021-02-19T00:00:00.000Z
154,Trust Wallet Token,TWT,524318439.80443865,2020-07-30T00:00:00.000Z
155,APENFT,NFT,520478653.04110503,2021-05-14T00:00:00.000Z
156,Reserve Rights,RSR,515734645.8341978,2019-05-24T00:00:00.000Z
157,Livepeer,LPT,515411561.90539384,2018-12-19T00:00:00.000Z
158,Holo,HOT,513021088.73958284,2018-04-29T00:00:00.000Z
159,ssv.network,SSV,504743738.10844123,2021-10-22T05:12:07.000Z
160,TrueUSD,TUSD,494799062.8494898,2018-03-06T00:00:00.000Z
161,Pixels,PIXEL,491393715.9015444,2024-02-19T09:43:44.000Z
162,ZetaChain,ZETA,485327897.9892825,2022-08-05T02:45:23.000Z
163,Mask Network,MASK,484806521.77992654,2021-02-21T00:00:00.000Z
164,SPACE ID,ID,484113171.4978839,2022-09-16T05:55:56.000Z
165,Yield Guild Games,YGG,476148313.8419271,2021-06-28T00:00:00.000Z
166,Jito,JTO,472129775.7004678,2023-12-07T16:04:41.000Z
167,EthereumPoW,ETHW,461694190.84204215,2022-08-08T05:19:50.000Z
168,Polymesh,POLYX,460894205.80711484,2022-05-30T12:38:57.000Z
169,Loopring,LRC,460484281.7546676,2017-08-30T00:00:00.000Z
170,Illuvium,ILV,457984374.449266,2021-03-08T00:00:00.000Z
171,Galxe,GAL,453040259.30950844,2021-09-14T09:51:51.000Z
172,Arkham,ARKM,448432651.19685465,2023-07-18T09:32:13.000Z
173,Metis,METIS,447952707.25211614,2021-05-08T00:00:00.000Z
174,MX TOKEN,MX,447973125.1533202,2019-09-24T00:00:00.000Z
175,Centrifuge,CFG,446445961.5885138,2020-08-28T00:00:00.000Z
176,Zcash,ZEC,446368477.9115091,2016-10-29T00:00:00.000Z
177,Qtum,QTUM,445199395.2213486,2017-05-24T00:00:00.000Z
178,Threshold,T,439992309.3585171,2022-01-31T08:26:28.000Z
179,Basic Attention Token,BAT,436396432.387914,2017-06-01T00:00:00.000Z
180,aelf,ELF,430401188.23226506,2017-12-21T00:00:00.000Z
181,Biconomy,BICO,426454238.3972195,2021-12-01T10:12:17.000Z
182,Dash,DASH,424042521.1752308,2014-02-14T00:00:00.000Z
183,NEM,XEM,422942417.23867166,2015-04-01T00:00:00.000Z
184,PAX Gold,PAXG,422702672.6024727,2019-09-26T00:00:00.000Z
185,Casper,CSPR,420935641.6048809,2020-07-21T00:00:00.000Z
186,Aragon,ANT,419071028.5193464,2017-05-18T00:00:00.000Z
187,Gas,GAS,416114287.46541905,2017-07-06T00:00:00.000Z
188,OriginTrail,TRAC,413529053.1162075,2018-01-25T00:00:00.000Z
189,Memecoin,MEME,409971229.50371766,2023-11-03T08:03:36.000Z
190,Amp,AMP,390757286.3863241,2020-09-08T00:00:00.000Z
191,Chia,XCH,389629151.2240835,2021-04-16T00:00:00.000Z
192,cat in a dogs world,MEW,387382633.79173654,2024-03-26T06:41:06.000Z
193,GMX,GMX,382317266.51943284,2021-09-13T12:11:50.000Z
194,Flux,FLUX,380815830.7975297,2018-08-02T00:00:00.000Z
195,Harmony,ONE,380705771.94630945,2019-06-01T00:00:00.000Z
196,Decred,DCR,373215062.8240604,2016-02-10T00:00:00.000Z
197,SushiSwap,SUSHI,367802924.8398894,2020-08-28T00:00:00.000Z
198,Moonbeam,GLMR,358923032.5098604,2022-01-11T12:55:50.000Z
199,Kusama,KSM,352754860.7636217,2019-12-12T00:00:00.000Z
200,Lido Staked ETH,stETH,31767425848.257393,2020-12-23T00:00:00.000Z
201,Wrapped Bitcoin,WBTC,10513273860.542925,2019-01-30T00:00:00.000Z
202,Wrapped TRON,WTRX,10354189326.685951,2017-09-13T00:00:00.000Z
203,Bitcoin BEP2,BTCB,3655315044.651135,2019-06-18T00:00:00.000Z
204,Wrapped HBAR,WHBAR,3498703458.719594,2019-09-17T00:00:00.000Z
205,Wrapped Beacon ETH,WBETH,3081878795.829108,2023-04-27T09:20:48.000Z
206,Ethena USDe,USDe,2013516950.832171,2024-02-20T11:05:01.000Z
207,Rocket Pool ETH,RETH,1919397908.0506537,2021-11-23T08:58:07.000Z
208,Zeebu,ZBU,1600802435.9273639,2023-08-09T17:44:17.000Z
209,Venus BNB,vBNB,1177133133.5301182,2020-12-12T00:00:00.000Z
210,Marinade Staked SOL,MSOL,1093359763.0287368,2021-08-29T14:09:19.000Z
211,Wrapped BNB,WBNB,967955006.6511827,2020-09-28T00:00:00.000Z
212,Orbler,ORBR,929780658.0788835,2022-03-01T07:28:22.000Z
213,Cheelee,CHEEL,883387020.0581852,2023-02-13T15:17:51.000Z
214,Coinbase Wrapped Staked ETH,cbETH,691285762.2273886,2022-08-23T16:57:41.000Z
215,Frax,FRAX,648004865.0603017,2020-09-08T00:00:00.000Z
216,Brett,BRETT,609827195.9602301,2024-03-11T07:58:23.000Z
217,Fasttoken,FTN,543927303.8566598,2022-11-09T14:57:06.000Z
218,Degen,DEGEN,504990874.83133256,2024-03-25T10:09:44.000Z
219,PAAL AI,PAAL,469870158.3849226,2023-06-23T07:23:59.000Z
220,Wrapped Kava,WKAVA,445442613.014157,2019-10-25T00:00:00.000Z
221,Pocket Network,POKT,421946070.9339952,2021-09-12T10:19:10.000Z
222,JUST,JST,348199561.37640935,2020-05-07T00:00:00.000Z
223,Rollbit Coin,RLB,348052417.068743,2021-11-29T06:53:35.000Z
224,Waves,WAVES,343644129.84448695,2016-06-02T00:00:00.000Z
225,Convex Finance,CVX,337596082.7720027,2021-05-18T00:00:00.000Z
226,SafePal,SFP,333532417.265533,2020-12-28T00:00:00.000Z
227,Telcoin,TEL,329815140.25274014,2018-01-14T00:00:00.000Z
228,Chromia,CHR,327335033.90627116,2019-05-28T00:00:00.000Z
229,Audius,AUDIO,326029229.47028446,2020-10-20T00:00:00.000Z
230,Kadena,KDA,322933917.45505685,2020-05-31T00:00:00.000Z
231,Aevo,AEVO,319736362.46295387,2024-03-07T06:26:50.000Z
232,0x0.ai,0x0,314031173.4305058,2023-01-31T10:00:24.000Z
233,ICON,ICX,310231883.97498,2017-10-27T00:00:00.000Z
234,Neutron,NTRN,303473939.2297979,2023-06-13T09:53:47.000Z
235,UMA,UMA,297592618.5706815,2020-05-25T00:00:00.000Z
236,Baby Doge Coin,BabyDoge,297278078.8866144,2021-06-11T00:00:00.000Z
237,Creditcoin,CTC,295956148.80248964,2020-01-31T00:00:00.000Z
238,HEX,HEX,294006142.7777912,2019-12-17T00:00:00.000Z
239,Storj,STORJ,289954486.98812723,2017-07-02T00:00:00.000Z
240,Xai,XAI,288500752.8860271,2024-01-03T10:03:02.000Z
241,WAX,WAXP,287053111.99287266,2017-12-21T00:00:00.000Z
242,VeThor Token,VTHO,286689658.60885245,2018-07-30T00:00:00.000Z
243,Vanar Chain,VANRY,286488816.7692336,2020-12-16T00:00:00.000Z
244,Venus BTC,vBTC,283191157.4743605,2020-12-12T00:00:00.000Z
245,Band Protocol,BAND,282015064.1171574,2019-09-18T00:00:00.000Z
246,Coq Inu,COQ,280697500.5322683,2023-12-11T16:53:53.000Z
247,Stride,STRD,278306998.9798858,2022-09-12T04:53:06.000Z
248,API3,API3,277313027.6098132,2020-11-21T00:00:00.000Z
249,Coin98,C98,276732181.5089242,2021-07-15T00:00:00.000Z
250,yearn.finance,YFI,276236328.06213677,2020-07-18T00:00:00.000Z
251,Ontology,ONT,276232039.1057422,2018-03-08T00:00:00.000Z
252,LCX,LCX,274259429.86332834,2019-12-03T00:00:00.000Z
253,ALEX Lab,ALEX,268034188.67631194,2022-10-05T18:46:29.000Z
254,JOE,JOE,268118036.15982655,2021-08-25T21:39:22.000Z
255,Kujira,KUJI,266242518.28422272,2021-11-29T01:53:10.000Z
256,DigiByte,DGB,265842388.6536386,2014-02-06T00:00:00.000Z
257,Aleph Zero,AZERO,265246051.7890437,2021-09-20T16:55:23.000Z
258,GuildFi,GF,264287118.11018774,2021-12-05T00:18:20.000Z
259,ATOR Protocol,ATOR,264163126.19676805,2023-03-04T16:22:51.000Z
260,Solar,SXP,263876830.81187886,2019-08-26T00:00:00.000Z
261,Balancer,BAL,261468369.8194583,2020-06-24T00:00:00.000Z
262,Synapse,SYN,261416992.74984938,2021-09-26T08:56:12.000Z
263,Lisk,LSK,260134862.65600312,2016-04-06T00:00:00.000Z
264,Open Campus,EDU,259568157.99713606,2023-04-21T08:06:26.000Z
265,Tribe,TRIBE,194953313.42154533,2021-03-30T00:00:00.000Z
266,Helium Mobile,MOBILE,257144253.7755084,2023-04-21T03:13:40.000Z
267,CyberConnect,CYBER,256935288.8753027,2023-08-15T11:49:15.000Z
268,Beldex,BDX,255397439.7363551,2019-06-07T00:00:00.000Z
269,Marlin,POND,256056851.42648876,2020-12-22T00:00:00.000Z
270,Decentralized Social,DESO,254948237.53995818,2021-06-15T00:00:00.000Z
271,FINSCHIA,FNSA,254392162.96661302,2020-03-04T00:00:00.000Z
272,Rootstock Infrastructure Framework,RIF,253125343.96462193,2019-01-16T00:00:00.000Z
273,SwissBorg,BORG,252456717.45708445,2018-02-02T00:00:00.000Z
274,Alchemy Pay,ACH,252235768.0980625,2020-09-09T00:00:00.000Z
275,Treasure,MAGIC,251743323.43368587,2021-11-18T11:20:24.000Z
276,Wilder World,WILD,250875181.59844056,2021-05-10T00:00:00.000Z
277,COTI,COTI,247059700.66604474,2019-06-04T00:00:00.000Z
278,Prom,PROM,244203100.58413464,2019-07-17T00:00:00.000Z
279,Seedify.fund,SFUND,241087158.6204219,2021-03-29T00:00:00.000Z
280,Portal,PORTAL,240421461.53625003,2024-02-21T08:01:46.000Z
281,iExec RLC,RLC,238890539.25205913,2017-04-20T00:00:00.000Z
282,BinaryX,BNX,235996193.20012048,2021-05-18T00:00:00.000Z
283,Venus,XVS,235064849.86000124,2020-10-05T00:00:00.000Z
284,RSS3,RSS3,234822789.2278576,2022-02-07T10:03:56.000Z
285,IOST,IOST,233316648.09730613,2018-01-16T00:00:00.000Z
286,DAO Maker,DAO,232856472.05055687,2021-02-09T00:00:00.000Z
287,Celer Network,CELR,229089979.9891893,2019-03-25T00:00:00.000Z
288,TerraClassicUSD,USTC,226372136.12847582,2020-09-21T00:00:00.000Z
289,Big Time,BIGTIME,224699122.66099653,2023-10-11T04:56:06.000Z
290,Alephium,ALPH,224150709.15339735,2021-11-20T03:22:53.000Z
291,Myro,MYRO,221496440.72907752,2023-11-11T16:58:11.000Z
292,IQ,IQ,219319267.9178451,2018-10-03T00:00:00.000Z
293,Delysium,AGI,216474375.85019258,2023-04-11T12:43:21.000Z
294,Tellor,TRB,215194015.23729056,2019-11-19T00:00:00.000Z
295,Cartesi,CTSI,213812802.0521689,2020-04-23T00:00:00.000Z
296,Syscoin,SYS,213789167.6968179,2014-08-20T00:00:00.000Z
297,Smooth Love Potion,SLP,213286781.07801145,2020-07-08T00:00:00.000Z
298,Stratis [New],STRAX,211235892.78443804,2016-08-12T00:00:00.000Z
299,Pundi X (New),PUNDIX,209736923.44512188,2021-03-31T00:00:00.000Z
300,VVS Finance,VVS,210293132.69014096,2021-11-15T09:13:07.000Z
301,Propy,PRO,208742936.76653415,2017-09-19T00:00:00.000Z
302,Numeraire,NMR,208098660.2185152,2017-06-23T00:00:00.000Z
303,Sleepless AI,AI,207427453.49752104,2023-12-26T12:37:44.000Z
304,L7,LSD,207206707.39106354,2023-09-19T03:27:26.000Z
305,Arcblock,ABT,207184460.6684489,2018-02-26T00:00:00.000Z
306,Huobi BTC,HBTC,207161682.77740648,2020-09-08T00:00:00.000Z
307,MOG Coin,MOG,206464918.0681667,2023-07-21T19:17:41.000Z
308,Node AI,GPU,206513135.2868343,2024-02-23T07:23:55.000Z
309,Civic,CVC,203344319.7598234,2017-07-17T00:00:00.000Z
310,Hive,HIVE,203308464.22136062,2020-03-26T00:00:00.000Z
311,Wen,WEN,203191051.73599204,2024-01-25T16:42:02.000Z
312,Dusk,DUSK,202124906.13720784,2019-07-11T00:00:00.000Z
313,Keep Network,KEEP,201600274.34448835,2020-05-13T00:00:00.000Z
314,BORA,BORA,197607117.11171877,2019-03-18T00:00:00.000Z
315,Toshi,TOSHI,197343196.45767802,2023-08-04T09:39:48.000Z
316,SLERF,SLERF,191446305.93708175,2024-03-18T09:28:39.000Z
317,USDB,USDB,191227547.71224478,2024-03-01T04:58:52.000Z
318,PayPal USD,PYUSD,190050745.96223462,2023-08-07T21:50:32.000Z
319,Horizen,ZEN,188144269.36115772,2017-06-01T00:00:00.000Z
320,Nano,XNO,186291626.5044816,2017-03-06T00:00:00.000Z
321,Powerledger,POWR,185861573.70274958,2017-11-01T00:00:00.000Z
322,Fusionist,ACE,185377740.22495556,2023-12-11T13:06:52.000Z
323,Covalent,CQT,184770761.55205598,2020-10-14T00:00:00.000Z
324,Rootstock Smart Bitcoin,RBTC,184500729.98516414,2018-12-05T00:00:00.000Z
325,MAGA,TRUMP,183594787.8329582,2023-08-18T10:42:43.000Z
326,Hooked Protocol,HOOK,183243214.29495883,2022-12-01T14:40:31.000Z
327,Braintrust,BTRST,181265971.10867023,2021-09-02T18:08:47.000Z
328,FLEX,FLEX,180962695.9795528,2020-02-24T00:00:00.000Z
329,ApeX Protocol,APEX,180098539.42687267,2022-04-28T06:22:21.000Z
330,Oraichain,ORAI,179288307.85020033,2020-10-27T00:00:00.000Z
331,Vulcan Forged (PYR),PYR,177396044.3772813,2021-04-19T00:00:00.000Z
332,Art de Finance,ADF,177313154.00904444,2023-05-30T07:34:07.000Z
333,ConstitutionDAO,PEOPLE,175885693.64753774,2021-11-19T03:12:15.000Z
334,NFPrompt,NFP,175156398.74028763,2023-12-27T10:19:02.000Z
335,Orca,ORCA,173219726.4449489,2021-08-05T00:00:00.000Z
336,Status,SNT,172912850.61532897,2017-06-28T00:00:00.000Z
337,Dent,DENT,172820534.12161258,2017-08-12T00:00:00.000Z
338,USDJ,USDJ,172713057.71613026,2020-04-14T00:00:00.000Z
339,Ark,ARK,170402390.56984428,2017-03-22T00:00:00.000Z
340,Aavegotchi,GHST,170190065.86293548,2020-09-14T00:00:00.000Z
341,Oasys,OAS,169202147.32280612,2022-10-18T06:35:35.000Z
342,AllianceBlock Nexera,NXRA,168973435.30610815,2023-03-08T08:04:07.000Z
343,Zebec,ZBC,168944858.51612177,2022-03-15T11:30:35.000Z
344,Bluzelle,BLZ,167285087.47534278,2018-02-06T00:00:00.000Z
345,Solidus Ai Tech,AITECH,167283256.65646893,2022-03-24T17:28:30.000Z
346,MetFi,METFI,167028131.61908317,2022-07-01T04:53:40.000Z
347,Bone ShibaSwap,BONE,165892326.1115919,2021-09-13T19:17:01.000Z
348,NYM,NYM,164447800.37563965,2022-01-24T08:30:07.000Z
349,Moonriver,MOVR,164501418.7549862,2021-04-19T00:00:00.000Z
350,Nakamoto Games,NAKA,162699822.76716265,2021-10-14T18:35:34.000Z
351,Phala Network,PHA,162222419.0489821,2020-09-13T00:00:00.000Z
352,Unizen,ZCX,162112932.37190962,2021-04-16T00:00:00.000Z
353,MVL,MVL,160560465.8082653,2018-07-27T00:00:00.000Z
354,inSure DeFi,SURE,159986005.09995526,2020-01-07T00:00:00.000Z
355,Maverick Protocol,MAV,157885790.79108754,2022-02-10T08:23:09.000Z
356,Hashflow,HFT,155914595.4839543,2022-10-31T07:02:20.000Z
357,Myria,MYRIA,155027328.2329041,2022-10-19T09:21:55.000Z
358,World Mobile Token,WMT,155005210.48930374,2021-11-02T08:55:10.000Z
359,Request,REQ,154757996.80993214,2017-10-20T00:00:00.000Z
360,Symbol,XYM,153270648.84786427,2021-03-03T00:00:00.000Z
361,Stargate Finance,STG,152763657.38901225,2022-03-18T04:06:21.000Z
362,Secret,SCRT,150798299.77191103,2020-05-19T00:00:00.000Z
363,Syntropy,NOIA,150161110.07805738,2019-07-31T00:00:00.000Z
364,Heroes of Mavia,MAVIA,150056662.40273857,2024-02-06T12:20:20.000Z
365,Sun (New),SUN,149380423.5666732,2021-06-21T00:00:00.000Z
366,Aurora,AURORA,148772013.37902692,2021-11-19T03:03:36.000Z
367,Radiant Capital,RDNT,148597624.03969413,2022-07-21T06:25:00.000Z
368,Dogelon Mars,ELON,148092577.79008484,2021-04-23T00:00:00.000Z
369,Pax Dollar,USDP,147680750.15954277,2018-09-27T00:00:00.000Z
